iter	Passed	Remaining
0	17	17109
1	35	17716
2	55	18348
3	77	19312
4	95	19056
5	112	18625
6	130	18574
7	148	18472
8	163	18023
9	181	17972
10	206	18559
11	224	18446
12	239	18208
13	256	18070
14	272	17920
15	288	17740
16	303	17530
17	317	17326
18	331	17121
19	345	16953
20	360	16789
21	374	16638
22	388	16497
23	403	16397
24	417	16294
25	432	16185
26	446	16088
27	460	15990
28	474	15892
29	488	15803
30	502	15722
31	517	15645
32	532	15615
33	548	15572
34	563	15526
35	578	15492
36	592	15412
37	606	15344
38	619	15273
39	634	15223
40	648	15173
41	662	15104
42	677	15069
43	691	15017
44	705	14966
45	719	14915
46	733	14874
47	747	14827
48	761	14781
49	775	14740
50	789	14696
51	804	14661
52	819	14640
53	833	14601
54	847	14562
55	861	14522
56	875	14476
57	888	14436
58	903	14410
59	917	14368
60	931	14335
61	945	14302
62	958	14259
63	972	14226
64	987	14201
65	1001	14178
66	1016	14154
67	1031	14143
68	1046	14124
69	1061	14104
70	1077	14098
71	1092	14083
72	1107	14065
73	1122	14049
74	1139	14054
75	1154	14040
76	1170	14027
77	1184	14004
78	1201	14006
79	1217	13995
80	1232	13986
81	1249	13983
82	1283	14174
83	1304	14229
84	1326	14278
85	1342	14264
86	1358	14258
87	1374	14246
88	1390	14229
89	1406	14216
90	1421	14195
91	1437	14183
92	1454	14181
93	1469	14164
94	1484	14144
95	1499	14118
96	1513	14093
97	1528	14068
98	1543	14047
99	1558	14029
100	1574	14010
101	1589	13994
102	1607	13996
103	1622	13979
104	1638	13967
105	1654	13954
106	1671	13948
107	1687	13940
108	1703	13921
109	1719	13909
110	1735	13897
111	1751	13889
112	1767	13875
113	1783	13860
114	1798	13838
115	1814	13826
116	1830	13814
117	1844	13789
118	1859	13764
119	1874	13743
120	1889	13725
121	1904	13705
122	1920	13692
123	1935	13674
124	1951	13660
125	1967	13648
126	1984	13642
127	2000	13631
128	2016	13615
129	2033	13608
130	2050	13603
131	2066	13586
132	2080	13563
133	2095	13545
134	2110	13524
135	2125	13502
136	2139	13477
137	2154	13458
138	2170	13441
139	2185	13424
140	2200	13404
141	2215	13386
142	2230	13365
143	2245	13349
144	2260	13330
145	2276	13314
146	2290	13293
147	2306	13277
148	2321	13261
149	2338	13253
150	2353	13235
151	2369	13219
152	2386	13209
153	2403	13202
154	2418	13186
155	2434	13172
156	2450	13158
157	2466	13142
158	2481	13124
159	2496	13108
160	2512	13093
161	2527	13073
162	2542	13057
163	2557	13036
164	2572	13017
165	2586	12996
166	2601	12978
167	2617	12961
168	2632	12944
169	2647	12928
170	2663	12911
171	2678	12892
172	2693	12873
173	2707	12852
174	2722	12833
175	2736	12811
176	2750	12790
177	2766	12773
178	2780	12751
179	2795	12733
180	2810	12715
181	2824	12695
182	2838	12673
183	2853	12654
184	2867	12630
185	2881	12608
186	2895	12586
187	2909	12567
188	2923	12545
189	2937	12521
190	2950	12498
191	2965	12478
192	2978	12454
193	2992	12433
194	3006	12411
195	3020	12389
196	3034	12367
197	3048	12347
198	3062	12327
199	3076	12306
200	3090	12284
201	3104	12263
202	3117	12240
203	3131	12218
204	3145	12199
205	3159	12178
206	3173	12157
207	3186	12134
208	3200	12113
209	3214	12093
210	3228	12071
211	3242	12051
212	3256	12033
213	3270	12013
214	3284	11993
215	3297	11968
216	3311	11947
217	3324	11926
218	3338	11906
219	3352	11886
220	3367	11869
221	3380	11847
222	3393	11825
223	3407	11804
224	3421	11784
225	3435	11764
226	3448	11743
227	3462	11722
228	3475	11701
229	3488	11678
230	3502	11658
231	3515	11637
232	3528	11616
233	3542	11596
234	3555	11574
235	3570	11558
236	3584	11539
237	3597	11519
238	3611	11499
239	3624	11478
240	3637	11457
241	3651	11437
242	3665	11419
243	3679	11400
244	3692	11380
245	3706	11362
246	3720	11342
247	3733	11322
248	3747	11301
249	3760	11280
250	3773	11260
251	3787	11242
252	3801	11223
253	3814	11204
254	3827	11183
255	3841	11165
256	3855	11146
257	3868	11126
258	3882	11108
259	3895	11087
260	3909	11068
261	3923	11050
262	3936	11030
263	3950	11012
264	3963	10993
265	3976	10974
266	3991	10957
267	4004	10937
268	4017	10918
269	4031	10899
270	4045	10883
271	4060	10868
272	4074	10849
273	4088	10832
274	4102	10815
275	4115	10795
276	4128	10776
277	4142	10758
278	4156	10740
279	4169	10722
280	4182	10703
281	4197	10686
282	4211	10668
283	4224	10650
284	4238	10632
285	4251	10614
286	4265	10596
287	4278	10577
288	4292	10560
289	4306	10542
290	4319	10524
291	4334	10508
292	4347	10490
293	4360	10471
294	4374	10453
295	4388	10436
296	4401	10418
297	4415	10400
298	4428	10383
299	4442	10365
300	4456	10348
301	4469	10330
302	4482	10312
303	4496	10294
304	4510	10278
305	4524	10262
306	4538	10244
307	4551	10227
308	4565	10210
309	4579	10192
310	4593	10176
311	4607	10159
312	4621	10143
313	4634	10125
314	4649	10110
315	4662	10092
316	4676	10075
317	4689	10057
318	4703	10040
319	4716	10022
320	4729	10005
321	4743	9987
322	4757	9971
323	4771	9955
324	4785	9939
325	4798	9921
326	4812	9904
327	4826	9888
328	4839	9870
329	4853	9854
330	4867	9838
331	4882	9824
332	4896	9808
333	4910	9791
334	4923	9774
335	4937	9757
336	4951	9741
337	4964	9724
338	4978	9707
339	4991	9690
340	5005	9673
341	5019	9657
342	5033	9640
343	5046	9623
344	5059	9606
345	5074	9590
346	5088	9575
347	5102	9559
348	5116	9543
349	5129	9527
350	5144	9511
351	5158	9496
352	5172	9479
353	5185	9463
354	5199	9447
355	5214	9432
